x,y,z,level_2
-0.6475,7.5543,0.7182,1
-0.2821,6.5012,0.7182,1
1.3897,9.1748,0.7182,1
0.2460,7.4303,0.7182,1
0.3878,11.3816,0.7182,1
0.3406,9.1399,0.7182,1
0.4995,8.9284,0.7182,1
0.1614,9.9108,0.7182,1
0.0312,9.3822,0.7182,1
0.3638,9.1493,0.7182,1
-1.2465,8.8238,-0.9056,2
-1.2548,9.1134,-0.9056,2
-0.5782,9.5308,-0.9056,2
-1.0268,8.6286,-0.9056,2
0.1661,10.7798,-0.9056,2
0.2768,9.6351,-0.9056,2
-1.0310,7.9910,-0.9056,2
-1.3069,8.7228,-0.9056,2
0.5011,9.5763,-0.9056,2
1.9309,12.2724,-0.9056,2
0.0083,11.4293,1.3542,3
-1.0128,9.3841,1.3542,3
0.4795,9.8483,1.3542,3
0.0957,9.9043,1.3542,3
-0.6862,10.9561,1.3542,3
-0.1360,10.3949,1.3542,3
0.5511,8.8183,1.3542,3
0.4711,9.2721,1.3542,3
-0.7126,9.4695,1.3542,3
0.9212,9.7816,1.3542,3
0.8202,11.4930,-1.1220,4
-1.6676,11.1940,-1.1220,4
0.7492,10.7502,-1.1220,4
0.1326,11.2623,-1.1220,4
-3.1846,7.0798,-1.1220,4
0.3650,10.7516,-1.1220,4
0.4346,12.4620,-1.1220,4
0.1187,12.3735,-1.1220,4
-2.1375,8.3699,-1.1220,4
-0.2735,9.5145,-1.1220,4
0.6883,10.7159,-0.1553,5
0.4275,7.6905,-0.1553,5
-0.7667,6.3418,-0.1553,5
0.4355,8.2431,-0.1553,5
-0.5801,9.4888,-0.1553,5
0.2226,9.8941,-0.1553,5
1.8685,10.1012,-0.1553,5
0.6758,8.1778,-0.1553,5
-0.9264,9.8353,-0.1553,5
0.4670,9.3899,-0.1553,5
-0.6383,8.2706,1.8383,6
1.1471,11.7570,1.8383,6
-1.0352,8.0743,1.8383,6
0.4181,9.3047,1.8383,6
0.0829,9.3026,1.8383,6
-2.2394,8.6718,1.8383,6
-1.5681,8.4140,1.8383,6
0.9528,9.8572,1.8383,6
-1.3142,5.6983,1.8383,6
-0.2995,7.5063,1.8383,6
-0.3898,8.8295,1.7692,7
1.0376,10.2681,1.7692,7
0.5438,9.7447,1.7692,7
0.2779,8.7673,1.7692,7
-0.0676,8.6951,1.7692,7
-0.7434,8.2890,1.7692,7
0.0905,9.1970,1.7692,7
-0.1370,9.6233,1.7692,7
-0.3315,7.2044,1.7692,7
1.0419,9.4786,1.7692,7
-0.9084,7.2903,0.1694,8
1.5633,10.5147,0.1694,8
0.6023,9.8967,0.1694,8
-1.0962,8.3660,0.1694,8
-0.7215,9.3641,0.1694,8
-1.1299,6.8090,0.1694,8
0.8998,9.0166,0.1694,8
-1.3886,9.1370,0.1694,8
-0.1455,10.0523,0.1694,8
-0.8755,9.8786,0.1694,8
-0.6358,11.3806,-0.1577,9
0.9448,10.5865,-0.1577,9
-1.2472,8.2387,-0.1577,9
0.8906,12.5199,-0.1577,9
-0.3660,10.9543,-0.1577,9
0.3645,11.9339,-0.1577,9
0.5569,11.5493,-0.1577,9
-0.1082,12.3527,-0.1577,9
0.7366,10.6939,-0.1577,9
0.1188,12.5765,-0.1577,9
-1.6117,11.7836,-0.3106,10
-1.3120,10.0532,-0.3106,10
-0.9351,8.4899,-0.3106,10
2.3042,10.0127,-0.3106,10
0.7726,10.8155,-0.3106,10
-0.2762,10.8601,-0.3106,10
1.5936,11.3674,-0.3106,10
1.3732,12.3366,-0.3106,10
-0.0622,10.1272,-0.3106,10
-1.1931,10.0677,-0.3106,10
-1.1985,10.8980,-1.4976,11
1.6031,12.4885,-1.4976,11
-0.7781,10.4629,-1.4976,11
1.6850,13.7951,-1.4976,11
-0.6216,10.9671,-1.4976,11
0.2922,9.7521,-1.4976,11
0.5646,9.9520,-1.4976,11
0.4274,10.4424,-1.4976,11
-0.5531,9.5952,-1.4976,11
-0.4893,9.9026,-1.4976,11
-1.7725,8.9908,-0.2538,12
1.9665,13.2061,-0.2538,12
0.6493,12.2282,-0.2538,12
-0.3980,11.0480,-0.2538,12
-0.2191,10.9109,-0.2538,12
-1.7311,11.1167,-0.2538,12
1.9547,13.0222,-0.2538,12
-0.1718,10.9438,-0.2538,12
0.8909,12.9129,-0.2538,12
1.0510,11.7309,-0.2538,12
0.6756,12.8424,-0.8866,13
0.6055,11.6838,-0.8866,13
-0.3814,12.3482,-0.8866,13
-0.3334,11.1567,-0.8866,13
0.6721,12.6090,-0.8866,13
0.4977,11.9057,-0.8866,13
-0.4244,12.7899,-0.8866,13
-1.2591,10.1796,-0.8866,13
0.1638,10.8817,-0.8866,13
0.7651,12.0725,-0.8866,13
-2.0785,9.1954,-1.2411,14
0.2813,9.1993,-1.2411,14
1.8608,11.0815,-1.2411,14
-1.9563,9.8559,-1.2411,14
-0.2837,10.2007,-1.2411,14
0.9678,9.6427,-1.2411,14
0.7806,9.8236,-1.2411,14
-0.3698,10.3584,-1.2411,14
0.4940,11.0872,-1.2411,14
0.5069,9.8468,-1.2411,14
-0.6059,9.6750,-1.2760,15
-1.8487,10.5743,-1.2760,15
-0.8026,9.6803,-1.2760,15
1.0299,11.8218,-1.2760,15
2.4813,11.9695,-1.2760,15
0.0878,10.9532,-1.2760,15
1.9223,10.9095,-1.2760,15
2.1213,9.8227,-1.2760,15
-0.9475,11.4144,-1.2760,15
-2.1578,8.3678,-1.2760,15
2.2631,10.8358,0.2591,16
1.0118,9.8943,0.2591,16
-0.4729,9.7390,0.2591,16
-0.2226,8.8129,0.2591,16
-0.1069,9.5696,0.2591,16
0.5565,10.1691,0.2591,16
0.4329,11.4552,0.2591,16
-0.7376,9.1093,0.2591,16
-1.1846,12.5260,0.2591,16
-0.4509,9.5487,0.2591,16
0.4412,9.9619,-0.0278,17
-0.3135,10.8776,-0.0278,17
-1.8609,6.5969,-0.0278,17
0.7254,10.0869,-0.0278,17
-0.3573,9.8793,-0.0278,17
0.7682,11.4336,-0.0278,17
-0.5220,9.4918,-0.0278,17
-1.1580,7.4552,-0.0278,17
-0.1584,10.3420,-0.0278,17
-1.2623,8.0631,-0.0278,17
-1.1856,8.1558,-0.0238,18
0.5194,7.6304,-0.0238,18
-0.9491,9.5563,-0.0238,18
1.4196,8.9969,-0.0238,18
0.3255,9.0714,-0.0238,18
1.1986,8.2593,-0.0238,18
-1.1986,8.7739,-0.0238,18
-0.1493,7.2943,-0.0238,18
-0.2789,7.6293,-0.0238,18
-0.9209,7.4163,-0.0238,18
-0.7213,10.2768,-0.1568,19
0.9616,11.3032,-0.1568,19
1.3560,11.2261,-0.1568,19
-1.1413,9.3367,-0.1568,19
-0.2963,10.2981,-0.1568,19
0.2369,10.4581,-0.1568,19
0.0774,12.0410,-0.1568,19
0.2011,11.2977,-0.1568,19
0.4091,10.9773,-0.1568,19
1.1777,12.1223,-0.1568,19
-0.4934,7.9698,1.9087,20
0.0705,11.7100,1.9087,20
-1.3733,8.3760,1.9087,20
-0.2260,8.7092,1.9087,20
-1.0055,10.2941,1.9087,20
0.2078,8.5400,1.9087,20
0.1241,9.9214,1.9087,20
0.5521,9.6330,1.9087,20
0.4644,9.3225,1.9087,20
-0.5462,10.1592,1.9087,20
1.8672,11.6676,-1.8979,21
-0.4717,11.2127,-1.8979,21
-1.3205,11.8903,-1.8979,21
0.7762,9.0748,-1.8979,21
-0.6330,10.9996,-1.8979,21
0.9872,12.5983,-1.8979,21
0.7948,12.2901,-1.8979,21
0.4303,9.5350,-1.8979,21
0.4463,12.1449,-1.8979,21
0.4641,11.1364,-1.8979,21
-1.9582,9.1256,0.8246,22
-0.3229,7.7367,0.8246,22
0.5169,9.5818,0.8246,22
-0.7020,8.4210,0.8246,22
0.2794,10.0617,0.8246,22
1.0194,9.7827,0.8246,22
1.1022,11.1260,0.8246,22
-0.0525,9.9243,0.8246,22
0.0109,9.0092,0.8246,22
1.2610,9.3750,0.8246,22
-0.0686,10.1588,0.0592,23
-0.8651,10.3822,0.0592,23
0.5619,12.2292,0.0592,23
1.3772,9.4249,0.0592,23
0.2020,10.2983,0.0592,23
