id2,y,x,w
0,46.8081,1.9760,-0.1389
0,41.1045,1.2257,-0.1389
0,39.8181,0.9527,-0.1389
0,43.5678,1.8109,-0.1389
0,31.2604,-0.0053,-0.1389
0,50.9395,2.5170,-0.1389
0,42.6587,1.4397,-0.1389
0,51.3563,2.3901,-0.1389
0,47.1197,2.1665,-0.1389
0,43.3370,1.4979,-0.1389
1,54.3227,-0.1384,-0.2279
1,57.0190,0.3367,-0.2279
1,57.1450,0.2380,-0.2279
1,58.8220,0.4804,-0.2279
1,61.2298,1.0418,-0.2279
1,58.1141,0.5998,-0.2279
1,61.4303,0.8390,-0.2279
1,58.6887,0.8227,-0.2279
1,54.5336,-0.1753,-0.2279
1,58.2474,0.5172,-0.2279
2,42.8693,1.4029,-0.9075
2,41.8951,0.2699,-0.9075
2,38.2770,-0.5101,-0.9075
2,45.7842,1.8226,-0.9075
2,38.0660,0.0655,-0.9075
2,37.9719,-1.0400,-0.9075
2,43.2971,0.0892,-0.9075
2,42.5333,0.2020,-0.9075
2,47.0626,2.1831,-0.9075
2,41.2862,0.4071,-0.9075
3,47.6480,-2.5839,-0.5252
3,47.1992,-3.1871,-0.5252
3,48.3467,-3.9000,-0.5252
3,47.5567,-3.8392,-0.5252
3,50.4808,-1.6886,-0.5252
3,48.6660,-2.4925,-0.5252
3,47.1898,-1.7873,-0.5252
3,49.5945,-1.9492,-0.5252
3,48.5028,-2.8865,-0.5252
3,51.5833,-1.6269,-0.5252
4,42.3075,1.5296,0.9318
4,46.4752,-3.2867,0.9318
4,44.4484,-2.0023,0.9318
4,43.2398,-0.5093,0.9318
4,43.6813,0.3007,0.9318
4,43.8045,0.3625,0.9318
4,49.7452,-4.6745,0.9318
4,44.3131,0.7778,0.9318
4,44.4077,-0.5600,0.9318
4,43.9662,1.5751,0.9318
5,49.3950,-0.8305,0.9811
5,50.2023,-0.5268,0.9811
5,56.7341,0.8577,0.9811
5,54.0033,-0.1982,0.9811
5,45.7287,-0.9211,0.9811
5,52.2762,-0.1551,0.9811
5,43.6074,-1.5527,0.9811
5,40.5386,-2.0177,0.9811
5,43.3771,-1.2904,0.9811
5,47.5866,-0.7117,0.9811
6,39.9627,0.5062,-1.5850
6,38.3177,1.2928,-1.5850
6,38.4970,0.8312,-1.5850
6,36.4526,0.9170,-1.5850
6,34.2177,1.6478,-1.5850
6,38.6380,0.2252,-1.5850
6,38.8977,-0.1393,-1.5850
6,39.0292,-0.3179,-1.5850
6,31.7884,2.8738,-1.5850
6,33.2529,2.3801,-1.5850
7,60.1495,0.3495,1.9912
7,64.1368,1.4654,1.9912
7,59.0641,-0.0426,1.9912
7,64.8220,2.5820,1.9912
7,62.7105,3.8514,1.9912
7,59.8361,-0.1279,1.9912
7,63.0371,2.0367,1.9912
7,62.7848,1.1521,1.9912
7,61.3497,2.1444,1.9912
7,61.0607,1.9358,1.9912
8,48.5416,-2.1060,-0.6811
8,47.4688,-1.9792,-0.6811
8,51.7087,-1.3341,-0.6811
8,47.8105,-2.2702,-0.6811
8,46.6754,-2.1514,-0.6811
8,38.0342,-3.3795,-0.6811
8,37.0133,-3.7339,-0.6811
8,45.5914,-2.0109,-0.6811
8,43.8808,-2.5949,-0.6811
8,41.4933,-3.1490,-0.6811
9,56.5433,0.1588,-0.5837
9,59.2654,0.9737,-0.5837
9,54.5728,-0.5277,-0.5837
9,56.8807,0.1446,-0.5837
9,51.4993,-1.2230,-0.5837
9,66.9046,1.6564,-0.5837
9,59.4265,0.8363,-0.5837
9,58.7798,0.8655,-0.5837
9,60.8508,0.9279,-0.5837
9,55.5665,-0.1251,-0.5837
10,36.1757,-1.1716,-0.8625
10,40.8263,-0.0639,-0.8625
10,41.5992,-0.1121,-0.8625
10,42.1123,0.2681,-0.8625
10,43.1186,0.5489,-0.8625
10,43.1590,0.5318,-0.8625
10,37.5625,-0.9223,-0.8625
10,37.0971,-0.9730,-0.8625
10,50.0475,2.5344,-0.8625
10,38.8079,-0.4213,-0.8625
11,45.7492,-0.3377,-0.2758
11,55.6344,0.6053,-0.2758
11,54.6953,0.6851,-0.2758
11,71.8227,2.1459,-0.2758
11,44.7049,-0.5941,-0.2758
11,65.1451,1.5217,-0.2758
11,42.8188,-0.5601,-0.2758
11,64.7541,1.5541,-0.2758
11,71.5990,2.1262,-0.2758
11,45.3635,-0.1947,-0.2758
12,46.2402,0.8690,0.3227
12,48.3815,1.1135,0.3227
12,52.4209,2.1760,0.3227
12,42.5136,-0.1765,0.3227
12,52.9927,2.5606,0.3227
12,50.2162,1.7418,0.3227
12,44.6002,0.4557,0.3227
12,43.8907,0.2955,0.3227
12,53.7151,2.3656,0.3227
12,52.2809,2.3271,0.3227
13,40.2019,-1.5461,1.1783
13,42.7373,-0.3737,1.1783
13,41.4766,-1.0092,1.1783
13,43.5360,-0.2882,1.1783
13,43.9726,-0.7585,1.1783
13,39.5433,-1.0876,1.1783
13,43.9105,-0.4928,1.1783
13,41.6794,-0.6764,1.1783
13,37.3551,-1.4742,1.1783
13,48.5318,0.7989,1.1783
14,41.8238,-1.4307,-0.7641
14,39.8497,-1.2127,-0.7641
14,42.1024,-1.2147,-0.7641
14,40.5189,-0.4637,-0.7641
14,40.1429,-0.8903,-0.7641
14,39.7821,-2.3071,-0.7641
14,38.6620,-0.7277,-0.7641
14,38.9940,-1.9221,-0.7641
14,42.7353,-2.6297,-0.7641
14,40.0904,-1.4522,-0.7641
15,46.0739,-0.5785,-0.6922
15,49.9216,-0.5476,-0.6922
15,52.9918,0.3555,-0.6922
15,50.3244,-0.5827,-0.6922
15,53.9751,0.0954,-0.6922
15,52.4166,0.0502,-0.6922
15,57.4385,1.1053,-0.6922
15,35.0570,-2.8700,-0.6922
15,36.7602,-2.3188,-0.6922
15,54.4059,0.4036,-0.6922
16,47.2753,1.0626,-0.3268
16,45.2120,-0.2680,-0.3268
16,46.7076,-1.0251,-0.3268
16,42.3222,-1.5130,-0.3268
16,40.9902,-3.5412,-0.3268
16,46.2493,1.1414,-0.3268
16,45.2084,-0.8002,-0.3268
16,46.9712,0.0643,-0.3268
16,46.4116,-0.2121,-0.3268
16,47.3220,0.5408,-0.3268
17,45.8106,-2.8970,-0.2310
17,45.8829,-2.4217,-0.2310
17,47.9772,-3.0422,-0.2310
17,44.4256,-1.3858,-0.2310
17,43.2977,-0.4874,-0.2310
17,44.1391,-0.4014,-0.2310
17,47.4974,-2.6816,-0.2310
17,42.7112,-0.1825,-0.2310
17,48.1408,-1.2521,-0.2310
17,45.8612,-1.1246,-0.2310
18,42.1044,0.6484,1.5688
18,43.9347,1.6329,1.5688
18,39.9102,1.3161,1.5688
18,40.6566,1.2892,1.5688
18,41.3428,1.1405,1.5688
18,40.4103,2.8069,1.5688
18,41.8250,2.5156,1.5688
18,41.7192,2.2416,1.5688
18,40.6670,1.9041,1.5688
18,42.4946,0.8669,1.5688
19,39.3608,-0.3760,-1.0323
19,42.1544,-1.8626,-1.0323
19,38.4875,-1.4555,-1.0323
19,40.5201,-0.4054,-1.0323
19,43.0649,-0.7454,-1.0323
19,40.2124,1.2021,-1.0323
19,39.1145,-1.2591,-1.0323
19,39.2939,0.3514,-1.0323
19,39.6661,0.0642,-1.0323
19,39.1878,0.9501,-1.0323
20,51.6064,0.8331,0.3674
20,46.2808,-0.4293,0.3674
20,55.0785,1.7402,0.3674
20,55.7986,2.0785,0.3674
20,51.9068,0.9321,0.3674
20,53.4561,1.9338,0.3674
20,46.0338,-0.6542,0.3674
20,54.7039,1.8960,0.3674
20,55.0933,2.1258,0.3674
20,60.0568,2.9799,0.3674
21,51.7392,1.0750,0.0388
21,55.7072,1.8897,0.0388
21,46.1142,-0.2473,0.0388
21,47.0416,0.4789,0.0388
21,47.9470,-0.1815,0.0388
21,54.2278,1.5915,0.0388
21,50.1781,-0.0654,0.0388
21,44.2483,-0.7185,0.0388
21,50.8237,0.9215,0.0388
21,51.1226,0.4959,0.0388
22,34.1186,-1.6802,-0.8093
22,27.1736,-2.4585,-0.8093
22,25.1094,-2.4625,-0.8093
22,43.6184,-0.6795,-0.8093
22,30.8360,-1.9551,-0.8093
22,39.3130,-1.1390,-0.8093
22,16.6467,-3.7650,-0.8093
22,27.7536,-2.5094,-0.8093
22,25.7325,-2.6498,-0.8093
22,38.8807,-0.9994,-0.8093
23,30.5134,-0.2454,3.0116
23,43.7163,1.7065,3.0116
